genotype_confirmation,physical_id,mouseline,birthdate,deathdate,gender,genotype,phenotype,project_title,purpose,sacrificer,comment
Confirmed,TOM2,TOM,21/12/2016,5/4/2017,Male,TOM (T/T),N/A,TBC,"FACS Trial and IHC Optimisation, Harvest (Lungs)",Hui San,
Confirmed,5213C01,Hogan/MCl-1,27/1/2017,5/4/2017,Male,"Hogan (KI/+), MCl-1 (fl/+)",N/A,MCl-1 Project,FACS Trial and IHC Optimisation,Hui San,
Confirmed,5213C06,Hogan/MCl-1,27/1/2017,5/4/2017,Male,"Hogan (+/+), MCl-1 (fl/+)",N/A,MCl-1 Project,FACS Trial and IHC Optimisation,Hui San,
Confirmed,5213C07,Hogan/MCl-1,27/1/2017,5/4/2017,Male,"Hogan (KI/+), MCl-1 (fl/fl)",N/A,MCl-1 Project,"FACS Trial and IHC Optimisation, Harvest (Lungs)",Hui San,
Confirmed,4120C12,Gli1/Kai/Tomato,26/12/2016,11/4/2017,Female,"Gli1 (KI/+), Kai (+/+), Tomato (+/+)",N/A,Gli1/MCl-1 Project,FACS Trial and IHC Optimisation,Hui San,
Confirmed,4117D13,Lgr5-rttA-GFP,7/12/2016,11/4/2017,Male,Lgr5 (+/+),N/A,TBC,FACS Trial and IHC Optimisation,Hui San,
Confirmed,4117D14,Lgr5-rttA-GFP,7/12/2016,11/4/2017,Male,Lgr5 (T/+),N/A,TBC,FACS Trial and IHC Optimisation,Hui San,
Confirmed,5213D08,Hogan/MCl-1,18/3/2017,11/4/2017,Male,"Hogan (+/+),MCl-1(+/+)",N/A,MCl-1 Project,FACS Trial and IHC Optimisation,Hui San,
Confirmed,2985A04,Lgr5/TOM,20/7/2016,18/4/2017,Male,"Lgr5(T/+), TOM(T/+)",Liver Tumor,Liver Tumor Project,"Harvest (Skin, Liver and Small Intestine, and lungs for Optimisation)",Shih Han,
Confirmed,4885C01,Lgr5/TOM,26/12/2016,18/4/2017,Male,"Lgr5(T/+), TOM(T/+)",Liver Tumor,Liver Tumor Project,"Harvest (Skin, Liver and Small Intestine, and lungs for Optimisation)",Shih Han,
Confirmed,5644A07,Lgr5/Kai/MCl-1/Tomato,21/3/2017,24/4/2017,Female,"Lgr5(T/+), Kai(+/+), MCl-1(fl/+), Tomato(+/+)",N/A,MCl-1 Project,FACS TriAL (Harvest Skin),Shih Han,
N/A,5644B01,Lgr5/Kai/MCl-1/Tomato,13/4/2017,5/5/2017,Male,N/A,N/A,TBC,FACS Analysis,Hui San,
N/A,5644B02,Lgr5/Kai/MCl-1/Tomato,13/4/2017,5/5/2017,Male,"Lgr5(T/+), Kai(+/+), MCl-1(fl/+), Tomato(+/+)",N/A,MCl-1 Project,FACS Analysis,Hui San,
N/A,5644B03,Lgr5/Kai/MCl-1/Tomato,13/4/2017,5/5/2017,Male,"Lgr5(T/+), Kai(+/+), MCl-1(fl/+), Tomato(+/+)",N/A,MCl-1 Project,FACS Analysis,Hui San,
N/A,5644B04,Lgr5/Kai/MCl-1/Tomato,13/4/2017,5/5/2017,Male,"Lgr5(+/+), Kai(+/+), MCl-1(fl/+), Tomato(KI/+)",N/A,MCl-1 Project,FACS Analysis,Hui San,
N/A,5644B05,Lgr5/Kai/MCl-1/Tomato,13/4/2017,5/5/2017,Male,"Lgr5(T/+), Kai(+/+), MCl-1(fl/+), Tomato(+/+)",N/A,MCl-1 Project,FACS Analysis,Hui San,
Confirmed,4885D07,Lgr5/TOM,13/1/2017,11/5/2017,Female,"Lgr5(T/+), TOM(T/+)",Liver Tumor,Liver Tumor Project,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,4926D09,Hogan/Gli1/Gli2,7/3/2017,23/5/2017,Male,"Hogan(+/+), Gli1(KI/KI), Gli2(fl/fl)",N/A,Gli1/Gli2 Project,FACS Analysis,Hui San,
Confirmed,4926D10,Hogan/Gli1/Gli2,7/3/2017,23/5/2017,Male,"Hogan(KI/+), Gli1(KI/KI), Gli2(fl/fl)",N/A,Gli1/Gli2 Project,FACS Analysis,Hui San,
"Hogan(KI/+), Gli1(KI/KI), Gli2(fl/+)",4926D11,Hogan/Gli1/Gli2,7/3/2017,23/5/2017,Male,"Hogan(KI/+), Gli1(KI/KI), Gli2(fl/fl)",N/A,Gli1/Gli2 Project,FACS Analysis,Hui San,
Confirmed,5502D01,Gli1-rttA-GFP,19/3/2017,23/5/2017,Male,Gli1(KI/KI),N/A,TBC,FACS Analysis,Hui San,
Confirmed,5502D02,Gli1-rttA-GFP,19/3/2017,23/5/2017,Male,Gli1(KI/KI),N/A,TBC,FACS Analysis,Hui San,
Confirmed,5644A03,Lgr5/Kai/MCl-1/Tomato,21/3/2017,23/5/2017,Male,"Lgr5(+/+), Kai(T/+), Mcl-1(fl/+), Tomato(KI/+)",N/A,TBC,FACS Analysis,Hui San,
Confirmed,5644A04,Lgr5/Kai/MCl-1/Tomato,21/3/2017,23/5/2017,Male,"Lgr5(T/+), Kai(T/+), Mcl-1(fl/+), Tomato(KI/+)",N/A,TBC,FACS Analysis,Hui San,
Confirmed,5644A05,Lgr5/Kai/MCl-1/Tomato,21/3/2017,23/5/2017,Male,"Lgr5(T/+), Kai(+/+), Mcl-1(fl/+), Tomato(+/+)",N/A,TBC,FACS Analysis,Hui San,
Confirmed,5644A06,Lgr5/Kai/MCl-1/Tomato,21/3/2017,23/5/2017,Male," Lgr5(T/+), Kai(T/+), Mcl-1(fl/+), Tomato(KI/+)",N/A,TBC,FACS Analysis,Hui San,
Lgr5 (T/+),4267E01,Lgr5-rttA-GFP,-,23/5/2017,Male,David's Lab,N/A,TBC,FACS Analysis,Hui San,
Lgr5 (T/+),4267E02,Lgr5-rttA-GFP,-,23/5/2017,Male,David's Lab,N/A,TBC,FACS Analysis,Hui San,
Lgr5 (T/+),4267E03,Lgr5-rttA-GFP,-,23/5/2017,Male,David's Lab,N/A,TBC,FACS Analysis,Hui San,
Confirmed,6142A17,Gli1/Kai/MCl-1/Tomato,15/4/2017,29/5/2017,Female,"Gli1(KI/+), Kai(T/+), Mcl-1(fl/+), Tomato(KI/+)",N/A,Gli1/MCl-1 Project,FACS Analysis,Hui San,
Confirmed,6142A18,Gli1/Kai/MCl-1/Tomato,15/4/2017,29/5/2017,Female,"Gli1(KI/+), Kai(+/+), Mcl-1(+/+), Tomato(+/+)",N/A,Gli1/MCl-1 Project,FACS Analysis,Hui San,
Confirmed,6142A19,Gli1/Kai/MCl-1/Tomato,15/4/2017,29/5/2017,Female,"Gli1(KI/+), Kai(T/+), Mcl-1(fl/fl), Tomato(KI/KI)",N/A,Gli1/MCl-1 Project,FACS Analysis,Hui San,
Confirmed,6142B05,Gli1/Kai/MCl-1/Tomato,19/4/2017,29/5/2017,Female,"Gli1(KI/+), Kai(+/+), Mcl-1(fl/+), Tomato(KI/+)",N/A,Gli1/MCl-1 Project,FACS Analysis,Hui San,
Confirmed,6142B06,Gli1/Kai/MCl-1/Tomato,19/4/2017,29/5/2017,Female,"Gli1(+/+), Kai(+/+), Mcl-1(fl/+), Tomato(+/+)",N/A,Gli1/MCl-1 Project,FACS Analysis,Hui San,
Confirmed,6142B07,Gli1/Kai/MCl-1/Tomato,19/4/2017,29/5/2017,Female,"Gli1(KI/+), Kai(T/+), Mcl-1(fl/fl), Tomato(KI/+)",N/A,Gli1/MCl-1 Project,FACS Analysis,Hui San,
Confirmed,5213E06,Hogan/MCl-1,13/3/2017,29/5/2017,Male,"Hogan(KI/+), Mcl-1(+/+)",N/A,MCl-1 Project,FACS Analysis,Hui San,
Confirmed,5213E07,Hogan/MCl-1,13/3/2017,29/5/2017,Male,"Hogan(+/+), Mcl-1(fl/fl)",N/A,MCl-1 Project,FACS Analysis,Hui San,
Confirmed,5213E08,Hogan/MCl-1,13/3/2017,29/5/2017,Male," Hogan(KI/+), Mcl-1(fl/fl)",N/A,MCl-1 Project,FACS Analysis,Hui San,
Confirmed,TOM,TOM,23/3/2017,29/5/2017,Male,TOM (T/T),N/A,TBC,FACS Analysis,Hui San,
"Lgr5(T/+), TOM(T/+)",4885A03,Lgr5/TOM,5/12/2016,29/5/2017,Female,"Lgr5(+/+), TOM(T/+)",Liver Tumor,Liver Tumor Project,"Harvest (Skin, Liver and Small Intestine)",Shih Han,
Confirmed,2985A05,Lgr5/TOM,20/7/2016,30/6/2017,Male,"Lgr5(T/+), TOM(T/+)",Liver Tumor,Liver Tumor Project,"Harvest (Skin, Liver and Small Intestine)","Alex, Shih Han",
Confirmed,2984B01,Lgr5/TOM,13/8/2016,30/6/2017,Female,"Lgr5(T/+), TOM(T/+)",Liver Tumor,Liver Tumor Project,"Harvest (Skin, Liver and Small Intestine)","Alex, Shih Han",
Confirmed,4885A01,Lgr5/TOM,5/12/2016,30/6/2017,Male,"Lgr5(+/+), TOM(T/+)",Normal,Liver Tumor Project,"Harvest (Skin, Liver and Small Intestine)","Alex, Shih Han",
Confirmed,4885B07,Lgr5/TOM,8/12/2016,30/6/2017,Male,"Lgr5(+/+), TOM(T/+)",Normal,Liver Tumor Project,"Harvest (Skin, Liver and Small Intestine)","Alex, Shih Han",
Confirmed,4885B10,Lgr5/TOM,8/12/2016,30/6/2017,Male,"Lgr5(T/+), TOM(T/+)",Liver Tumor,Liver Tumor Project,"Harvest (Skin, Liver and Small Intestine)","Alex, Shih Han",
Confirmed,4885E12,Lgr5/TOM,15/1/2017,30/6/2017,Male,"Lgr5(T/+), TOM(T/+)",Liver Tumor,Liver Tumor Project,"Harvest (Skin, Liver and Small Intestine)","Alex, Shih Han",
Confirmed,4885E14,Lgr5/TOM,15/1/2017,30/6/2017,Male,"Lgr5(T/+), TOM(T/+)",Liver Tumor,Liver Tumor Project,"Harvest (Skin, Liver and Small Intestine)","Alex, Shih Han",
Confirmed,4885E20,Lgr5/TOM,15/1/2017,30/6/2017,Male,"Lgr5(T/+), TOM(T/+)",Liver Tumor,Liver Tumor Project,"Harvest (Skin, Liver and Small Intestine)","Alex, Shih Han",
Confirmed,2985A03,Lgr5/TOM,20/7/2016,14/7/2017,Male,"Lgr5(T/+), TOM(T/+)",Normal,Liver Tumor Project,"Harvest (Skin, Pancreas, Liver and Small Intestine)","Alex, Shih Han","On DOX H2O Sep 05, 16 and change to DOX food from Nov 17, 16/ 14 Jul'17: Harvested Skin, Small Intestine and Liver, No tumor found but the skin seem to be very stiff"
Confirmed,4885A05,Lgr5/TOM,5/12/2016,14/7/2017,Male,"Lgr5(+/+), TOM(T/+)",Unknown Tumor,Liver Tumor Project,"Harvest (Skin, Pancreas, Liver and Small Intestine)","Alex, Shih Han","On DOX Food from 13 Feb 2017/ 14 Jul'17: Harvested for Skin, Liver and Small Intestine, and Freeze Down an Unknown Tumor, suspected to be Bladder"
Confirmed,4882A01,Lgr5/Kai/TOMATO,5/1/2017,14/7/2017,Male,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",N/A,Liver Tumor Project,"Harvest (Skin, Pancreas, Liver and Small Intestine)","Alex, Shih Han","On DOX food from 27 Jan 2017 for 7 days / 14 Jul'17: Harvested fro Liver, Pancreas and Small Intestine"
Confirmed,4882A02,Lgr5/Kai/TOMATO,5/1/2017,14/7/2017,Male,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",N/A,Liver Tumor Project,"Harvest (Skin, Pancreas, Liver and Small Intestine)","Alex, Shih Han","On DOX food from 27 Jan 2017 for 7 days / 14 Jul'17: Harvested fro Liver, Pancreas and Small Intestine"
Confirmed,4882A03,Lgr5/Kai/TOMATO,5/1/2017,14/7/2017,Male,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",N/A,Liver Tumor Project,"Harvest (Skin, Pancreas, Liver and Small Intestine)","Alex, Shih Han","On DOX food from 27 Jan 2017 for 7 days / 14 Jul'17: Harvested fro Liver, Pancreas and Small Intestine"
Confirmed,4882A04,Lgr5/Kai/TOMATO,5/1/2017,14/7/2017,Male,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",N/A,Liver Tumor Project,"Harvest (Skin, Pancreas, Liver and Small Intestine)","Alex, Shih Han","On DOX food from 27 Jan 2017 for 7 days / 14 Jul'17: Harvested fro Liver, Pancreas and Small Intestine"
Confirmed,4466B02,Lgr5-rttA-GFP,5/5/2017,14/7/2017,Male,Lgr5(+/+),N/A,Liver Tumor Project,"Harvest (Skin, Pancreas, Liver and Small Intestine)","Alex, Shih Han",Founder #28 / 10-13 Jul'17: Treated with Vehicle/ 14 Jul'17: Harvested fro Liver and Small Intestine
Confirmed,4466B04,Lgr5-rttA-GFP,5/5/2017,14/7/2017,Male,Lgr5(T/+),N/A,Liver Tumor Project,"Harvest (Skin, Pancreas, Liver and Small Intestine)","Alex, Shih Han",Founder #28 / 10-13 Jul'17: Treated with Vehicle/ 14 Jul'17: Harvested fro Liver and Small Intestine
Confirmed,4466B06,Lgr5-rttA-GFP,5/5/2017,14/7/2017,Male,Lgr5(+/+),N/A,Liver Tumor Project,"Harvest (Skin, Pancreas, Liver and Small Intestine)","Alex, Shih Han",Founder #28 / 10-13 Jul'17: Treated with Porcupine Inhibitor/ 14 Jul'17: Harvested fro Liver and Small Intestine
Confirmed,4466B07,Lgr5-rttA-GFP,5/5/2017,14/7/2017,Male,Lgr5(T/+),N/A,Liver Tumor Project,"Harvest (Skin, Pancreas, Liver and Small Intestine)","Alex, Shih Han",Founder #28 / 10-13 Jul'17: Treated with Porcupine Inhibitor/ 14 Jul'17: Harvested fro Liver and Small Intestine
Confirmed,6670A01,Lgr5/Kai/TOMATO,18/6/2017,21/7/2017,Male,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",N/A,Liver Tumor Project,"Harvest (Pancreas, Liver and Small Intestine)","Alex, Shih Han","17 Jul'17: On DOX Water /21 Jul'17: Stop TAM and Harvested Pancreas, Liver and Small Intestine"
Confirmed,6670A02,Lgr5/Kai/TOMATO,18/6/2017,21/7/2017,Male,"Lgr5(T/+), Kai(+/+), Tomato(KI/+)",N/A,Liver Tumor Project,"Harvest (Pancreas, Liver and Small Intestine)","Alex, Shih Han","17 Jul'17: On DOX Water /21 Jul'17: Stop TAM and Harvested Pancreas, Liver and Small Intestine"
Confirmed,6670A07,Lgr5/Kai/TOMATO,18/6/2017,21/7/2017,Male,"Lgr5(T/+), Kai(T/+), Tomato(KI/+)",N/A,Liver Tumor Project,"Harvest (Pancreas, Liver and Small Intestine)","Alex, Shih Han","17 Jul'17: On DOX Water /21 Jul'17: Stop TAM and Harvested Pancreas, Liver and Small Intestine"
Confirmed,6670A08,Lgr5/Kai/TOMATO,18/6/2017,21/7/2017,Male,"Lgr5(+/+), Kai(T/+), Tomato(KI/+)",N/A,Liver Tumor Project,"Harvest (Pancreas, Liver and Small Intestine)","Alex, Shih Han","17 Jul'17: On DOX Water /21 Jul'17: Stop TAM and Harvested Pancreas, Liver and Small Intestine"
Confirmed,4885B06,Lgr5/TOM,8/12/2016,26/7/2017,Male,"Lgr5(T/+), TOM(T/+)",Normal,Liver Tumor Project,"Harvest (Pancreas, Liver and Small Intestine)",Shih Han,"On DOX Food from 16 Feb 2017 / 26 Jul'17: Harvested S.I, Liver and Pancreas, Freeze: Liver"
Confirmed,4885C04,Lgr5/TOM,26/12/2016,26/7/2017,Male,"Lgr5(T/+), TOM(T/+)",Normal,Liver Tumor Project,"Harvest (Pancreas, Liver and Small Intestine)",Shih Han,"On DOX Food since 13 Jan 2017 / 26 Jul'17: Harvested S.I, Liver and Pancreas, Freeze: Liver"
Confirmed,5213A09,Hogan/Mc1-1,27/1/2017,26/7/2017,Male,"Hogan(KI/+), Mcl-1(fl/fl)",N/A,Mcl-1 Project,Harvest (Back and Front Skin),Shih Han,"20, 22, 24 Feb 2017: 50ul Tam Injection / 6 Mar 2017: Hair loss was observed for the mice, to be confirmed the mice with hair loss"
N/A,6438A06,Hogan/Mc1-1,15/5/2017,26/7/2017,Female,"Hogan(KI/+), Mcl-1(fl/fl)",Partial Naked,Mcl-1 Project,Harvest (Back and Front Skin),Shih Han,"5 June 2017: On TAM Feed / 8 Jun'17: Shaved the Back Hair and on TAM (5 days TAM, 2 days Normal) / 26 Jul'17: Harvested Back and Front Skin"
